Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            129:0 -> 128:0
129:0   Note off                1, note 79, velocity 127
129:0   Note on                 1, note 100, velocity 76
129:0   Note on                 1, note 88, velocity 76
129:0   Note on                 1, note 76, velocity 76
129:0   Note off                5, note 103, velocity 127
129:0   Note off                5, note 91, velocity 127
129:0   Note on                 5, note 100, velocity 76
129:0   Note on                 5, note 88, velocity 76
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 121, velocity 106
129:0   Note off                4, note 121, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                6, note 88, velocity 112
129:0   Note off                6, note 76, velocity 112
129:0   Note on                 6, note 87, velocity 112
129:0   Note on                 6, note 75, velocity 112
129:0   Note off                1, note 100, velocity 127
129:0   Note off                1, note 88, velocity 127
129:0   Note off                1, note 76, velocity 127
129:0   Note on                 1, note 99, velocity 76
129:0   Note on                 1, note 87, velocity 76
129:0   Note on                 1, note 75, velocity 76
129:0   Note off                5, note 100, velocity 127
129:0   Note off                5, note 88, velocity 127
129:0   Note on                 5, note 99, velocity 76
129:0   Note on                 5, note 87, velocity 76
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 116, velocity 106
129:0   Note off                4, note 116, velocity 106
129:0   Note on                 4, note 105, velocity 106
129:0   Note off                4, note 105, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                6, note 87, velocity 112
129:0   Note off                6, note 75, velocity 112
129:0   Note on                 6, note 81, velocity 112
129:0   Note on                 6, note 69, velocity 112
129:0   Note off                1, note 99, velocity 127
129:0   Note off                1, note 87, velocity 127
129:0   Note off                1, note 75, velocity 127
129:0   Note on                 1, note 93, velocity 76
129:0   Note on                 1, note 81, velocity 76
129:0   Note on                 1, note 69, velocity 76
129:0   Note off                5, note 99, velocity 127
129:0   Note off                5, note 87, velocity 127
129:0   Note on                 5, note 93, velocity 76
129:0   Note on                 5, note 81, velocity 76
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 114, velocity 106
129:0   Note off                4, note 114, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 104, velocity 106
129:0   Note off                6, note 81, velocity 112
129:0   Note off                6, note 69, velocity 112
129:0   Note on                 6, note 80, velocity 112
129:0   Note on                 6, note 68, velocity 112
129:0   Note off                1, note 93, velocity 127
129:0   Note off                1, note 81, velocity 127
129:0   Note off                1, note 69, velocity 127
129:0   Note on                 1, note 92, velocity 78
129:0   Note on                 1, note 80, velocity 78
129:0   Note on                 1, note 68, velocity 78
129:0   Note off                5, note 93, velocity 127
129:0   Note off                5, note 81, velocity 127
129:0   Note on                 5, note 92, velocity 78
129:0   Note on                 5, note 80, velocity 78
129:0   Note off                4, note 104, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 105, velocity 106
129:0   Note off                6, note 80, velocity 112
129:0   Note off                6, note 68, velocity 112
129:0   Note on                 6, note 79, velocity 112
129:0   Note on                 6, note 67, velocity 112
129:0   Note off                1, note 92, velocity 127
129:0   Note off                1, note 80, velocity 127
129:0   Note off                1, note 68, velocity 127
129:0   Note on                 1, note 91, velocity 78
129:0   Note on                 1, note 79, velocity 78
129:0   Note on                 1, note 67, velocity 78
129:0   Note off                5, note 92, velocity 127
129:0   Note off                5, note 80, velocity 127
129:0   Note on                 5, note 91, velocity 78
129:0   Note on                 5, note 79, velocity 78
129:0   Note off                4, note 105, velocity 106
129:0   Note on                 4, note 110, velocity 106
129:0   Note off                4, note 110, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 102, velocity 106
129:0   Note off                6, note 79, velocity 112
129:0   Note off                6, note 67, velocity 112
129:0   Note on                 6, note 76, velocity 112
129:0   Note on                 6, note 64, velocity 112
129:0   Note off                1, note 91, velocity 127
129:0   Note off                1, note 79, velocity 127
129:0   Note off                1, note 67, velocity 127
129:0   Note on                 1, note 88, velocity 78
129:0   Note on                 1, note 76, velocity 78
129:0   Note on                 1, note 64, velocity 78
129:0   Note off                5, note 91, velocity 127
129:0   Note off                5, note 79, velocity 127
129:0   Note on                 5, note 88, velocity 78
129:0   Note on                 5, note 76, velocity 78
129:0   Note off                4, note 102, velocity 106
